,label_name
../music/ARASHI/image_data/ARASHI - ハダシの未来 [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 愛を叫べ [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - PIKA☆NCHI [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - Calling [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - Love so sweet [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Power of the Paradise [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - ｢未完｣ [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - Troublemaker [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 時代 [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 心の空 [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - NOW or NEVER [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Lotus [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 夏疾風 [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - まだ見ぬ世界へ [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Dear Snow [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 夏疾風 (高校生コラボver.) [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - とまどいながら [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Doors ～勇気の軌跡～ [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - アオゾラペダル [Official Music Video]_06.png,ARASHI
../music/ARASHI/image_data/ARASHI - Lucky Man [Official Music Video]_05.png,ARASHI
../music/ARASHI/image_data/ARASHI - Do you... ? [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/矢野健太 starring Satoshi Ohno - 曇りのち、快晴 [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 誰も知らない [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Don't You Get It [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - A-RA-SHI : Reborn [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - Løve Rainbow [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 風の向こうへ [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - Zero-G [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - 君のうた [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 明日の記憶 [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - サクラ咲ケ [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - ワイルド アット ハート [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 5×20 [Official Music Video]_07.png,ARASHI
../music/ARASHI/image_data/ARASHI - Hero [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Crazy Moon～キミ･ハ･ムテキ～ [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - P･A･R･A･D･O･X [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - IN THE SUMMER [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Whenever You Call [Dance version]_02.png,ARASHI
../music/ARASHI/image_data/ARASHI - Beautiful days [Official Music Video]_05.png,ARASHI
../music/ARASHI/image_data/ARASHI - 言葉より大切なもの [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - To be free [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - Everything [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 迷宮ラブソング [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Daylight [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Face Down [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - WISH [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - マイガール [Official Music Video]_05.png,ARASHI
../music/ARASHI/image_data/ARASHI - 復活LOVE [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Party Starters [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - Turning Up [Official Music Video]_03.png,ARASHI
../music/ARASHI/image_data/ARASHI - Monster [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - A･RA･SHI [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Bittersweet [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - One Love [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - 果てない空 [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - Your Eyes [Official Music Video]_04.png,ARASHI
../music/ARASHI/image_data/ARASHI - SUNRISE日本 [Official Music Video]_04.png,ARASHI
